Genes,M-Expression,S-Expression,G-Expression
Map7d2,1,0,0
Itgax,1,1,1
Wdr13,0,0,0
Mri1,0,1,1
Scara3,0,0,0
Rrm2b,0,0,0
Chpt1,0,0,0
Tcaf1,0,0,0
Rpl34,0,1,1
Tmc7,0,0,0
Rcan2,1,0,0
4930523C07Rik,1,0,0
Tiam2,0,0,0
Camta1,1,0,0
Marchf8,0,0,0
Akr1b8,1,1,1
Sesn1,0,0,0
Cst3,0,0,0
Dpp8,0,0,0
Zfp799,0,0,0
Abcb9,0,0,0
Mark1,1,0,0
Nectin2,1,1,1
Hsd11b1,1,1,0
Tnrc6c,0,0,0
Lonrf3,1,0,0
Rbl2,0,0,0
Tppp3,0,0,0
Srp19,1,1,1
Psma4,1,1,1
Lmbrd1,0,0,0
Ntsr2,1,0,0
Macir,1,1,1
Palld,1,0,0
Trak2,1,0,0
Mogs,1,1,1
Hdac5,0,0,0
Unc93b1,1,1,1
Efnb3,0,0,0
Cd80,1,1,1
Hmgcs1,1,1,0
Nudcd2,0,1,1
Clec4a1,1,1,1
6430562O15Rik,0,1,1
Sirpb1c,1,1,1
Polr1e,1,1,1
8030451A03Rik,1,1,1
Kidins220,0,0,0
Ogdhl,1,0,0
Gm13861,1,0,0
Phactr1,1,0,0
Fyb1,1,1,1
Ddx31,1,1,1
Ptar1,0,0,0
Selenop,0,0,0
Zkscan1,0,0,0
Aatf,1,1,1
Prrc2b,0,0,0
Dis3,1,1,1
Cntfr,1,0,0
Gm57852,0,0,0
Rrbp1,1,1,1
Rasgrf2,0,0,0
Mtch2,1,1,1
Srsf3,1,1,1
Pilrb1,1,1,1
Gm44220,0,0,0
Sirpb1a,1,1,1
Alyref,1,1,1
Rbm17,1,1,1
Kif13a,0,0,0
Slc9a2,0,0,0
Gm20300,0,0,0
Cdadc1,0,0,0
Baiap3,1,0,0
Kmt2c,0,0,0
G530011O06Rikx,1,1,1
Gm72665,0,0,0
Nhsl1,0,0,1
Fam98a,1,1,1
Eif4e2,1,1,1
Zfp715,0,0,0
Shq1,1,1,1
Sphkap,1,0,0
Chst15,1,0,0
Larp6,1,0,0
Ppp1r12a,1,0,0
Mturn,0,0,0
Sbk1,0,0,0
Lars1,1,1,1
Prkacb,0,0,0
Eif4ebp2,0,0,0
Timp3,1,0,0
Adcy5,1,0,0
Pde5a,1,0,0
Zfp652,0,0,0
Nup85,0,1,1
Fcho2,0,0,0
Pde7b,0,0,0
Dok3,1,1,1
Rfc3,1,1,1
S100a6,1,1,1
Rps6,1,1,1
Mtss2,0,0,0
Ecm2,0,0,0
Trip13,0,1,1
Ciao2a,0,1,1
Perp,1,0,0
Ppm1e,1,0,0
Sirpb1b,1,1,1
Gpbp1l1,0,0,0
Mcm3,1,1,1
Dkc1,0,1,1
Igip,0,0,0
Serinc5,0,0,0
Strn3,0,0,0
2700038G22Rik,1,1,1
Arnt2,1,0,0
Scube1,0,0,0
Adgrf5,1,0,0
Gm44509,0,0,0
Stt3a,1,1,1
Hivep1,1,0,0
Fam76a,0,0,0
Sarnp,1,1,1
Gfra2,1,0,0
Arhgap29,0,0,0
Sparcl1,0,0,0
Setd1b,0,0,0
Tnfrsf9,1,1,1
Tlcd5,1,0,0
Cxcr2,1,1,1
Lpin1,1,0,0
Kcna2,1,0,0
Scamp1,0,0,0
Shroom4,0,0,0
Epha3,0,0,0
Cdk4,0,1,1
Tifab,1,1,1
G0s2,1,1,0
Nlgn2,1,0,0
Gm59984,1,0,0
Chd3,0,0,0
Pus7,1,1,1
Ndrg2,1,0,0
Sec61b,1,1,1
Cdc42bpg,0,0,0
Sf3b3,1,1,1
Wdr46,1,1,1
Abr,0,0,0
Mmp17,1,0,0
Atp10a,0,0,0
Prkca,1,0,0
Rassf5,1,1,1
Wasf3,1,0,0
Sharpin,0,1,1
5730455P16Rik,0,0,0
Rpl18,1,1,1
E2f4,1,1,1
Dpysl2,0,0,0
Ccnd1,0,1,1
Setd7,1,0,0
Pfn2,0,0,0
Dlg3,1,0,0
Cmbl,0,0,0
Fth1,1,1,1
Arhgef9,0,0,0
Icam2,0,1,0
Tbcel,0,0,0
Ctsw,0,1,1
Mmp12,1,1,1
Atf5,1,1,0
Gpn1,1,1,1
Pkd1,0,0,0
Pdcd11,1,1,1
Rhbdl2,0,1,1
Casq2,1,0,0
Spaar,0,0,0
Tcf20,0,0,0
Fam135a,0,0,0
Ccr2,1,1,1
Amer2,1,0,0
Peg13,0,0,0
Crlf2,1,1,1
Sesn2,1,1,1
Ankrd50,0,0,0
Mvb12a,1,1,1
Adap2,1,0,0
Mtmr7,1,0,0
Ralbp1,0,0,0
Doc2b,1,0,0
Ak2,1,1,1
Umps,1,1,1
2810013P06Rik,0,0,0
Telo2,0,1,1
Ppp3cc,0,0,0
Cstb,0,1,1
Zfp729b,0,0,0
Gale,1,1,1
Prim2,0,1,1
Zc3h7b,0,0,0
Pard3,1,0,0
Tmcc2,1,0,0
Il21r,1,1,1
Mthfd1l,1,1,1
Kcnma1,1,0,0
Zbtb47,0,0,0
Grip2,1,0,0
Fmnl1,1,1,1
Nbea,0,0,0
Zfp664,0,0,0
Pink1,0,0,0
Pfn1,1,1,1
Nr1d2,0,0,0
Set,1,1,1
Ankrd12,0,0,0
Scrn1,0,0,0
Ugt8a,0,0,0
Pcx,0,0,0
Cd68,1,1,1
Srsf6,1,1,1
Atp1b2,1,0,0
Rps6ka5,0,0,0
Arl4a,0,0,0
Napsa,1,1,1
Prmt3,1,1,1
Akap11,1,0,0
Kdm4c,0,0,0
Dtna,1,0,0
Fkbp10,0,1,1
Rplp2,1,1,1
Fbxl20,0,0,0
Pgrmc1,0,0,0
Usp9x,1,0,0
Nubp1,1,1,1
